Numero de pasos:50000 Atendido por thread:6
0.000000	 0.785398
0.000063	 0.785299 	 numero de thread:6
0.000126	 0.785201 	 numero de thread:6
0.000188	 0.785102 	 numero de thread:6
0.000251	 0.785003 	 numero de thread:6
0.000314	 0.784905 	 numero de thread:6
0.000377	 0.784806 	 numero de thread:6
0.000440	 0.784708 	 numero de thread:6
0.000503	 0.784609 	 numero de thread:6
0.000565	 0.784510 	 numero de thread:6
0.000628	 0.784412 	 numero de thread:6
0.000691	 0.784313 	 numero de thread:6
0.000754	 0.784215 	 numero de thread:6
0.000817	 0.784116 	 numero de thread:6
0.000880	 0.784018 	 numero de thread:6
0.000942	 0.783919 	 numero de thread:6
0.001005	 0.783821 	 numero de thread:6
0.001068	 0.783723 	 numero de thread:6
0.001131	 0.783624 	 numero de thread:6
0.001194	 0.783526 	 numero de thread:6
0.001257	 0.783427 	 numero de thread:6
0.001319	 0.783329 	 numero de thread:6
0.001382	 0.783231 	 numero de thread:6
0.001445	 0.783132 	 numero de thread:6
0.001508	 0.783034 	 numero de thread:6
0.001571	 0.782936 	 numero de thread:6
0.001634	 0.782837 	 numero de thread:6
0.001696	 0.782739 	 numero de thread:6
0.001759	 0.782641 	 numero de thread:6
0.001822	 0.782543 	 numero de thread:6
0.001885	 0.782444 	 numero de thread:6
0.001948	 0.782346 	 numero de thread:6
0.002011	 0.782248 	 numero de thread:6
0.002073	 0.782150 	 numero de thread:6
0.002136	 0.782052 	 numero de thread:6
0.002199	 0.781954 	 numero de thread:6
0.002262	 0.781856 	 numero de thread:6
0.002325	 0.781757 	 numero de thread:6
0.002388	 0.781659 	 numero de thread:6
0.002450	 0.781561 	 numero de thread:6
0.002513	 0.781463 	 numero de thread:6
0.002576	 0.781365 	 numero de thread:6
0.002639	 0.781267 	 numero de thread:6
0.002702	 0.781169 	 numero de thread:6
0.002765	 0.781071 	 numero de thread:6
0.002827	 0.780973 	 numero de thread:6
0.002890	 0.780875 	 numero de thread:6
0.002953	 0.780777 	 numero de thread:6
